Wort,Bedeutung,Type,Lektion
abends,pel vespre,adverbien,3
alt,vell,adjektiv,1
arm,pobre,adjektiv,6
auch,també,adverbien,2
bald,aviat,adverbien,5
bequem,còmode,adjektiv,2
besonders,especialment,adverbien,3
bestimmt,segur,adverbien,6
billig,barat,adjektiv,3
bitter,amarg,adjektiv,3
bloß,just,adverbien,6
da,allà,adverbien,1
danach,després,adverbien,3
dann,llavors,adverbien,3
dick,gordo,adjektiv,6
direkt,directe,adjektiv,5
draußen,fora,adverbien,5
dunkel,fosc,adjektiv,3
eben,resignadament,adverbien,4
ehrlich,sincer,adjektiv,2
eigentlich,en realitat,adverbien,5
einmal,un cop,adverbien,6
endlich,per fin,adverbien,5
eng,estret,adjektiv,3
erkältet,refredat,adjektiv,6
erst,tan sols,adverbien,1
etwa,aprox,adverbien,1
fantastisch,fantàstic,adjektiv,3
fast,quasi,adverbien,3
fest,fixe,adjektiv,5
fett,gras,adjektiv,3
frei,lliure,adjektiv,1
frisch,fresc,adjektiv,3
früh,d'hora,adjektiv,4
ganz,bastant,adverbien,3
gebrochen,trencat,adjektiv,6
gefährlich,perillós,adjektiv,6
genau,exactament,adverbien,6
genug,suficient,adverbien,3
gern,amb gust,adverbien,3
geschieden,divorciat,adjektiv,1
geschlossen,tancat,adjektiv,4
gesund,sa,adjektiv,6
geöffnet,obert,adjektiv,4
gleich,mateix,adjektiv,6
glücklich,feliç,adjektiv,5
groß,gran,adjektiv,3
grün,verd,adjektiv,3
gut,bé,adjektiv,1
gut,bé,adverbien,1
günstig,ben situat,adjektiv,5
hart,dur,adjektiv,3
heiß,molt calent,adjektiv,6
hell,clar,adjektiv,3
herrlich,meravellós,adjektiv,4
herzlich,cordial,adjektiv,4
heute,avui,adverbien,2
hier,aquí,adverbien,1
hoch,alt,adjektiv,3
hässlich,lleig,adjektiv,5
häufig,freqüentment,adverbien,6
höchstens,com a molt,adverbien,6
immer,sempre,adverbien,4
interessant,interessant,adjektiv,5
jetzt,ara,adverbien,1
kalt,fred,adjektiv,3
kaputt,trencat,adjektiv,2
klein,petit,adjektiv,1
krank,malalt,adjektiv,6
kühl,fresc,adjektiv,6
lange,molt temps,adverbien,6
ledig,solter,adjektiv,1
leer,buit,adjektiv,2
leider,desgraciadament,adverbien,1
leise,en veu baixa,adjektiv,4
lieb-,estimat,adjektiv,4
lieber,prefereixo,adverbien,3
lustig,divertit,adjektiv,2
manchmal,a vegades,adverbien,3
meistens,majoritàriament,adverbien,4
mild,suau,adjektiv,3
mittags,al migdia,adverbien,3
modern,modern,adjektiv,2
morgen,demà,adverbien,4
morgens,pel matí,adverbien,3
müde,cansat,adjektiv,6
nachmittags,per la tarda,adverbien,3
nachts,per la nit,adverbien,5
nah,proper,adjektiv,3
natürlich,naturalment,adverbien,3
nervös,nerviós,adjektiv,6
nett,simpàtic,adjektiv,4
neu,nou,adjektiv,1
nicht,no,adverbien,1
nie,mai,adverbien,4
noch,encara,adverbien,1
normal,normal,adjektiv,3
nur,solament,adverbien,3
nächst-,pròxim,adjektiv,4
oben,a dalt,adverbien,3
obligatorisch,obligatori,adjektiv,4
oft,sovint,adverbien,3
originell,original,adjektiv,2
plötzlich,de cop,adverbien,6
praktisch,pràctic,adjektiv,2
privat,privat,adjektiv,5
reich,ric,adjektiv,6
rot,vermell,adjektiv,3
ruhig,tranquil,adjektiv,5
salzig,salat,adjektiv,3
satt,ple,adjektiv,3
sauber,net,adjektiv,5
sauer,àcid,adjektiv,3
scharf,picant,adjektiv,3
schlank,prim,adjektiv,3
schlecht,dolent,adjektiv,5
schlimm,greu,adjektiv,6
schon,ja,adverbien,1
schwer,pesat,adjektiv,6
schön,bonic,adjektiv,5
sehr,molt,adverbien,2
selbst,un mateix,adverbien,4
so,així,adverbien,3
sofort,de seguida,adverbien,3
sogar,inclús,adverbien,5
spät,tard,adjektiv,4
stark,fort,adjektiv,3
süß,dolç,adjektiv,3
teuer,car,adjektiv,5
trocken,sec,adjektiv,3
typisch,típic,adjektiv,3
täglich,diàriament,adverbien,6
unbedingt,sens dubte,adverbien,6
unten,avall,adverbien,3
verboten,prohibit,adjektiv,4
verheiratet,casat,adjektiv,1
verschieden,d'una altra manera,adverbien,3
viel,molt,adverbien,2
vielleicht,potser,adverbien,4
vor allem,sobre tot,adverbien,3
vorher,amb antel·lació,adverbien,5
vorsichtig,cuidadós,adjektiv,6
vorwiegend,principalment,adverbien,3
warm,calent,adjektiv,3
wichtig,important,adjektiv,3
willkommen,benvingut,adjektiv,5
wirklich,realment,adverbien,6
ziemlich,bastant,adverbien,5
zuerst,primer,adverbien,3
zufrieden,satisfet,adjektiv,5
zusammen,junt,adverbien,3
ähnlich,semblant,adjektiv,2
überall,per tot arreu,adverbien,3
übrigens,per cert,adverbien,1
